exe_x,log10(fi)
9.177651911698253784e+00,-6.706143082552320500e+00
9.526218920767711040e+00,-6.508001682753564943e+00
9.874785929837170073e+00,-5.919036989515750413e+00
1.022335293890662733e+01,-5.095349883933171675e+00
1.057191994797608459e+01,-5.104252770649022608e+00
1.092048695704554362e+01,-5.320034443968087778e+00
1.126905396611500088e+01,-5.584439646205501262e+00
1.161762097518445813e+01,-5.907018010395098884e+00
1.196618798425391716e+01,-6.164018193488047359e+00
1.231475499332337442e+01,-6.447865067309288989e+00
1.266332200239283168e+01,-6.631509464255416653e+00
1.301188901146229071e+01,-7.049925058637251496e+00
1.336045602053174797e+01,-7.366195020857969844e+00
1.370902302960120522e+01,-7.813353052200189275e+00
1.405759003867066426e+01,-7.910263065208245514e+00
