# xedges,yedges
9.177652,1.000000
9.226451,1.710000
9.275251,2.420000
9.324050,3.130000
9.372849,3.840000
9.421649,4.550000
9.470448,5.260000
9.519248,5.970000
9.568047,6.680000
9.616846,7.390000
9.665646,8.100000
9.714445,8.810000
9.763244,9.520000
9.812044,10.230000
9.860843,10.940000
9.909643,11.650000
9.958442,12.360000
10.007241,13.070000
10.056041,13.780000
10.104840,14.490000
10.153640,15.200000
10.202439,15.910000
10.251238,16.620000
10.300038,17.330000
10.348837,18.040000
10.397636,18.750000
10.446436,19.460000
10.495235,20.170000
10.544035,20.880000
10.592834,21.590000
10.641633,22.300000
10.690433,23.010000
10.739232,23.720000
10.788031,24.430000
10.836831,25.140000
10.885630,25.850000
10.934430,26.560000
10.983229,27.270000
11.032028,27.980000
11.080828,28.690000
11.129627,29.400000
11.178427,30.110000
11.227226,30.820000
11.276025,31.530000
11.324825,32.240000
11.373624,32.950000
11.422423,33.660000
11.471223,34.370000
11.520022,35.080000
11.568822,35.790000
11.617621,36.500000
11.666420,37.210000
11.715220,37.920000
11.764019,38.630000
11.812819,39.340000
11.861618,40.050000
11.910417,40.760000
11.959217,41.470000
12.008016,42.180000
12.056815,42.890000
12.105615,43.600000
12.154414,44.310000
12.203214,45.020000
12.252013,45.730000
12.300812,46.440000
12.349612,47.150000
12.398411,47.860000
12.447210,48.570000
12.496010,49.280000
12.544809,49.990000
12.593609,50.700000
12.642408,51.410000
12.691207,52.120000
12.740007,52.830000
12.788806,53.540000
12.837606,54.250000
12.886405,54.960000
12.935204,55.670000
12.984004,56.380000
13.032803,57.090000
13.081602,57.800000
13.130402,58.510000
13.179201,59.220000
13.228001,59.930000
13.276800,60.640000
13.325599,61.350000
13.374399,62.060000
13.423198,62.770000
13.471997,63.480000
13.520797,64.190000
13.569596,64.900000
13.618396,65.610000
13.667195,66.320000
13.715994,67.030000
13.764794,67.740000
13.813593,68.450000
13.862393,69.160000
13.911192,69.870000
13.959991,70.580000
14.008791,71.290000
14.057590,72.000000
